"name","fgapg","fgpct","fgpg","ftapg","ftpct","games","height","pfpg","ptspg","sospg","trbpg"
"Chris Singleton",8.4,0.419,3.5,3.5,0.592,95,6.9,3.1,10.3,7.05,6.2
"Chris Smith",13.6,0.421,5.7,4.6,0.761,127,6.3,2.2,16.9,7.54,2.9
"Chris Smith",8.9,0.403,3.6,2.9,0.703,125,6.2,1.5,10.5,2.3,4.4
"Chris Taft",8.7,0.569,4.9,3.7,0.564,65,6.1,1.5,12,6.11,7.5
"Chris Washburn",12.1,0.55,6.7,4.9,0.634,41,6.1,2,16.4,8.58,6.6
"Chris Webber",12.4,0.589,7.3,4.2,0.53,70,6.9,2.9,17.4,12.07,10
"Chris Welp",11.2,0.569,6.4,4.7,0.722,129,7.1,3.6,16.1,4.76,7.7
"Chris Whitney",10.8,0.427,4.6,3.1,0.788,58,6.1,3.1,14.6,7.42,3.7
"Chris Wilcox",6.2,0.52,3.2,2.6,0.589,70,6.1,2,7.9,10.19,4.7
"Chris Wright",9.8,0.489,4.8,4.8,0.662,123,6.8,2.6,13,3.66,7.2
"Chris Wright",9.4,0.459,4.3,3.6,0.748,110,6.1,2,12.4,9.04,2.9
"Christian Laettner",9.8,0.574,5.6,6,0.806,148,6.1,2.9,16.6,9.45,7.8
"Christian Wood",7.8,0.477,3.7,3.1,0.747,63,6.1,2.1,10.4,3.07,6.8
"Chubby Cox",9.8,0.426,4.2,2.9,0.695,107,6.2,2.7,10.4,1.89,4
"Chuck Aleksinas",6.8,0.561,3.8,3.5,0.721,96,6.1,2.5,10.1,4.58,5
"Chuck Cooper",12.6,0.491,6.2,5.7,0.646,51,6.5,2.4,16.1,1.39,NULL
"Chuck Hayes",6.7,0.503,3.4,2.9,0.733,134,6.6,2.3,9,9.49,6.9
"Chuck Mrazovich",NULL,NULL,4,3.8,0.542,25,6.5,NULL,10.1,NULL,NULL
"Chuck Nevitt",2.1,0.58,1.2,1.2,0.457,90,7.5,2,3,6.22,2.4
"Chuck Person",15.1,0.536,8.1,2.9,0.757,126,6.8,2.2,18.3,9.02,7.5
"Chuck Williams",10,0.439,4.4,4.4,0.691,68,1.0,1.7,11.8,2.29,4.3
"Chucky Atkins",11.6,0.41,4.7,3.9,0.737,111,5.1,1.9,14.6,3.91,3
"Chucky Brown",7.8,0.557,4.3,2.8,0.667,128,6.7,1.6,10.6,8.04,5.3
"Chuma Okeke",7.5,0.481,3.6,2,0.703,72,6.8,1.9,9.9,9.11,6.3
"Cincinnatus Powell",11.5,0.483,5.5,5.8,0.71,53,6.6,3,15.2,0.15,9.5
"CJ Elleby",13.8,0.413,5.7,4.2,0.749,64,6.6,2.8,16.6,3.57,7.5
"Clarence Kea",11.4,0.515,5.9,5.9,0.63,117,6.6,2.8,15.5,-1.57,9.8
"Clarence Weatherspoon",11.8,0.576,6.8,6.3,0.677,117,6.6,2.6,18.2,4.43,11.3
"Clark Kellogg",12.9,0.485,6.3,3.1,0.772,86,6.7,2.8,14.9,8.64,10.1
"Claude Gregory",13.6,0.44,6,5.4,0.727,110,6.8,3.4,15.9,8.72,6.1
"Clay Johnson",11.4,0.499,5.7,5.5,0.683,59,6.4,2.7,15.2,5.43,7.8
"Cleanthony Early",10.5,0.47,4.9,4.6,0.819,75,6.8,2.4,15.1,3.91,5.7
"Clem Haskins",18.4,0.454,8.4,7.2,0.751,76,6.3,2.5,22.1,-2.76,10.6
