"player","class","pos","school","conf","drafted"
"Vince Edwards",4,"F","Purdue","Big Ten",0
"Bruno Fernando",2,"F","Maryland","Big Ten",1
"Malik Fitts",2,"F","Saint Mary's (CA)","WCC",0
"Eric Garcia",4,"G","Wofford","Southern",0
"Aaron Gordon",1,"F","Arizona","Pac-12",0
"Treveon Graham",2,"G","Virginia Commonwealth","A-10",0
"Tyler Herro",1,"G","Kentucky","SEC",0
"Kevin Hervey",3,"F","Texas-Arlington","Sun Belt",0
"Richard Howell",4,"F","North Carolina State","ACC",0
"Justin Johnson",4,"F","Western Kentucky","CUSA",0
"Christian Keeling",3,"G","Charleston Southern","Big South",0
"Dedric Lawson",2,"G","Memphis","AAC",0
"Luke Maye",3,"F","North Carolina","ACC",0
"Rodney McGruder",3,"G","Kansas State","Big 12",0
"Shonn Miller",4,"F","Connecticut","AAC",0
"Donovan Mitchell",2,"G","Louisville","ACC",0
"Johnathan Motley",3,"F","Baylor","Big 12",0
"Daniel Mullings",3,"G","New Mexico State","WAC",0
"Aaric Murray",4,"C","Texas Southern","SWAC",0
"Larry Nance",4,"F","Wyoming","MWC",0
"Warren Niles",4,"G","Oral Roberts","Southland",0
"Saah Nimley",4,"G","Charleston Southern","Big South",0
"Daniel Ochefu",4,"F","Villanova","Big East",0
"Terell Parks",3,"F","Western Illinois","Summit",0
"Ryan Pearson",3,"F","George Mason","CAA",0
"Donte Poole",4,"F","Murray State","OVC",0
"Jacob Pullen",4,"G","Kansas State","Big 12",0
"Alex Rosenberg",3,"F","Columbia","Ivy",0
"Jeff Short",3,"G","Norfolk State","MEAC",0
"Juwan Staten",3,"G","West Virginia","Big 12",0
"Chase Tapley",3,"G","San Diego State","MWC",0
"Killian Tillie",2,"F","Gonzaga","WCC",0
"Tres Tinkle",3,"F","Oregon State","Pac-12",0
"Chris Udofia",3,"F","Denver","WAC",0
"Jarrod Uthoff",4,"F","Iowa","Big Ten",0
"Erving Walker",3,"G","Florida","SEC",0
"Brad Wanamaker",4,"G","Pittsburgh","Big East",0
"Quinndary Weatherspoon",4,"G","Mississippi State","SEC",0
"Chaz Williams",2,"G","Massachusetts","A-10",0
"Talib Zanna",3,"F","Pittsburgh","ACC",0
"Josh Adams",4,"G","Wyoming","MWC",0
"Ian Baker",4,"G","New Mexico State","WAC",0
"Joel Berry",2,"G","North Carolina","ACC",0
"Vladimir Brodziansky",3,"F","Texas Christian","Big 12",0
"Armoni Brooks",3,"G","Houston","AAC",0
"T.J. Cline",4,"F","Richmond","A-10",0
"Kellen Dunham",3,"G","Butler","Big East",0
"Brandon Edwards",4,"F","Texas-Arlington","Sun Belt",0
"Amanze Egekeze",4,"F","Belmont","OVC",0
"Chase Fieler",4,"F","Florida Gulf Coast","A-Sun",0
"Dorian Finney-Smith",4,"F","Florida","SEC",0
"Kevin Foster",2,"G","Santa Clara","WCC",0
"Jamaal Franklin",3,"G","San Diego State","MWC",0
"Dairese Gary",4,"G","New Mexico","MWC",0
"Marcus Georges-Hunt",4,"F","Georgia Tech","ACC",0
"Dajuan Graf",4,"G","North Carolina Central","MEAC",0
"Jerai Grant",4,"F","Clemson","ACC",0
"Gary Harris",2,"G","Michigan State","Big Ten",0
"LaDontae Henton",4,"F","Providence","Big East",0
"Malcolm Hill",4,"G","Illinois","Big Ten",0
"John Holland",4,"F","Boston University","AEC",0
"Nick King",4,"F","Middle Tennessee","CUSA",0
"Brandon Knight",1,"G","Kentucky","SEC",0
"Cameron Krutwig",2,"C","Loyola (IL)","MVC",0
"Kevin Larsen",4,"F","George Washington","A-10",0
"Tanner Leissner",3,"F","New Hampshire","AEC",0
"Markis McDuffie",2,"F","Wichita State","MVC",0
"Jordan McLaughlin",4,"G","Southern California","Pac-12",0
"Darius Morris",2,"G","Michigan","Big Ten",0
"Devin Oliver",4,"F","Dayton","A-10",0
"Joe Ragland",4,"G","Wichita State","MVC",0
"Zack Rosen",4,"G","Pennsylvania","Ivy",0
"Rakim Sanders",4,"F","Fairfield","MAAC",0
"Jeremy Senglin",4,"G","Weber State","Big Sky",0
"Zavier Simpson",3,"G","Michigan","Big Ten",0
"Donald Sims",4,"G","Appalachian State","Southern",0
"Peyton Siva",4,"G","Louisville","Big East",0
"Roosevelt Smart",2,"G","North Texas","CUSA",0
"Julyan Stone",4,"G","Texas-El Paso","CUSA",0
"TaShawn Thomas",2,"F","Houston","CUSA",0
"Reid Travis",3,"F","Stanford","Pac-12",0
"Angelo Warner",3,"G","Morehead State","OVC",0
"Christian Watford",4,"F","Indiana","Big Ten",0
"James Webb",2,"F","Boise State","MWC",0
"Zeek Woodley",2,"G","Northwestern State","Southland",0
"Tim Abromaitis",4,"F","Notre Dame","Big East",0
"Kevin Anderson",4,"G","Richmond","A-10",0
"Brandon Ashley",3,"F","Arizona","Pac-12",0
"Ike Azotam",2,"F","Quinnipiac","NEC",0
"Jared Berggren",4,"F","Wisconsin","Big Ten",0
"Phil Booth",4,"G","Villanova","Big East",0
"Evan Bradds",3,"G","Belmont","OVC",0
"Desonta Bradford",4,"G","East Tennessee State","Southern",0
"Tommy Brenton",4,"F","Stony Brook","AEC",0
"Anthony Brown",4,"G","Stanford","Pac-12",0
"Bryce Brown",4,"G","Auburn","SEC",0
"Jaylon Brown",4,"G","Evansville","MVC",0
"Deonte Burton",4,"G","Nevada","MWC",0
"Michael Carey",3,"G","Wagner","NEC",0
"Thomas Coleman",4,"F","North Carolina A&T","MEAC",0
"D.J. Cooper",3,"G","Ohio","MAC",0
"Dylon Cormier",3,"G","Loyola (MD)","MAAC",0
"Anthony Cowan",2,"G","Maryland","Big Ten",0
"Raasean Davis",4,"C","North Carolina Central","MEAC",0
"Matt Dickey",4,"G","North Carolina-Asheville","Big South",0
"Tyler Dorsey",2,"G","Oregon","Pac-12",0
"David Efianayi",4,"G","Gardner-Webb","Big South",0
"Gary Flowers",4,"F","Southern Mississippi","CUSA",0
"Shai Gilgeous-Alexander",1,"G","Kentucky","SEC",0
"Samme Givens",4,"F","Drexel","CAA",0
"Jordan Glynn",4,"F","Stephen F. Austin","Southland",0
"Ayron Hardy",4,"F","Jacksonville","A-Sun",0
"Aaron Harrison",2,"G","Kentucky","SEC",0
"Solomon Hill",3,"F","Arizona","Pac-12",0
"Joe Jackson",3,"G","Memphis","CUSA",0
"Stefan Jankovic",3,"F","Hawaii","Big West",0
"Velton Jones",3,"G","Robert Morris","NEC",0
"DeAndre Kane",4,"G","Iowa State","Big 12",0
"Tim Kempton",4,"C","Lehigh","Patriot",0
"Stanton Kidd",3,"F","North Carolina Central","MEAC",0
"Jeremy Lamb",2,"G","Connecticut","Big East",0
"Damion Lee",4,"G","Louisville","ACC",0
"Travis Leslie",3,"G","Georgia","SEC",0
"Vlad Moldoveanu",4,"F","American","Patriot",0
"Grant Mullins",4,"G","Columbia","Ivy",0
"Sa'eed Nelson",3,"G","American","Patriot",0
"Emmanuel Omogbo",4,"F","Colorado State","MWC",0
"Ajdin Penava",3,"F","Marshall","CUSA",0
"Sir'Dominic Pointer",4,"G","St. John's (NY)","Big East",0
"Ed Polite, Jr.",3,"F","Radford","Big South",0
"Vasa Pusica",3,"G","Northeastern","CAA",0
"Marcquise Reed",4,"G","Clemson","ACC",0
"Amu Saaka",4,"F","Furman","Southern",0
"John Simons",3,"F","Central Michigan","MAC",0
"Ryan Spangler",3,"F","Oklahoma","Big 12",0
"Omari Spellman",1,"F","Villanova","Big East",0
"Jeffery Taylor",4,"F","Vanderbilt","SEC",0
"Tyshawn Taylor",4,"G","Kansas","Big 12",0
"Jonathan Thompson",4,"G","Rider","MAAC",0
"Davon Usher",4,"G","Delaware","CAA",0
"Shayne Whittington",3,"C","Western Michigan","MAC",0
"Scottie Wilbekin",3,"G","Florida","SEC",0
"James Woodard",2,"G","Tulsa","CUSA",0
"Khalif Wyatt",3,"G","Temple","A-10",0
"Patric Young",3,"C","Florida","SEC",0
"Ben Aird",3,"C","Utah Valley","GWC",0
"Lawrence Alexander",4,"G","North Dakota State","Summit",0
"Ehab Amin",3,"G","Texas A&M-Corpus Christi","Southland",0
"Larry Anderson",4,"G","Cal State Long Beach","Big West",0
"Manny Atkins",4,"F","Georgia State","Sun Belt",0
"J.J. Avila",4,"F","Colorado State","MWC",0
"Nick Barbour",4,"G","High Point","Big South",0
"Derrick Barden",4,"F","Northern Colorado","Big Sky",0
"Rion Brown",4,"G","Miami (FL)","ACC",0
"Sherwood Brown",4,"G","Florida Gulf Coast","A-Sun",0
"Ben Brust",4,"G","Wisconsin","Big Ten",0
"Eli Chuha",2,"F","New Mexico State","WAC",0
"Keith Clanton",2,"F","Central Florida","CUSA",0
"Sandy Cohen",4,"G","Green Bay","Horizon",0
"Patrick Cole",4,"G","North Carolina Central","MEAC",0
"Matt Costello",4,"F","Michigan State","Big Ten",0
"Tekele Cotton",3,"G","Wichita State","MVC",0
"Allen Crabbe",3,"G","University of California","Pac-12",0
"Anthony Drmic",2,"G","Boise State","MWC",0
"Carrick Felix",4,"G","Arizona State","Pac-12",0
"Chris Fowler",3,"G","Central Michigan","MAC",0
"De'Aaron Fox",1,"G","Kentucky","SEC",0
"Kavin Gilder-Tilbury",4,"F","Texas State","Sun Belt",0
"Andrew Harrison",2,"G","Kentucky","SEC",0
"Richaun Holmes",4,"F","Bowling Green State","MAC",0
"James Johnson",3,"G","Quinnipiac","NEC",0
"Jaron Jones",4,"G","Eastern Kentucky","OVC",0
"Przemek Karnowski",4,"C","Gonzaga","WCC",0
"Nick Kellogg",4,"G","Ohio","MAC",0
"Zach LeDay",3,"F","Virginia Tech","ACC",0
"Paris Lee",4,"G","Illinois State","MVC",0
"J.R. Lynch",4,"G","Hartford","AEC",0
"Daryl Macon",4,"G","Arkansas","SEC",0
"Terance Mann",4,"G","Florida State","ACC",0
"Hassan Martin",2,"F","Rhode Island","A-10",0
"Jarell Martin",2,"F","Louisiana State","SEC",0
"Nick Mayo",4,"F","Eastern Kentucky","OVC",0
"Isaiah Miller",2,"G","North Carolina-Greensboro","Southern",0
"Matt Mooney",3,"G","South Dakota","Summit",0
"Matt Morgan",4,"G","Cornell","Ivy",0
"Byron Mulkey",4,"G","Buffalo","MAC",0
"Alex Oriakhi",4,"F","Missouri","SEC",0
"Dererk Pardon",4,"C","Northwestern","Big Ten",0
"T.J. Price",4,"G","Western Kentucky","CUSA",0
"Ivan Rabb",1,"F","University of California","Pac-12",0
"Anthony Raffa",4,"G","Coastal Carolina","Big South",0
"Isaiah Reese",2,"G","Canisius","MAAC",0
"Ahmaad Rorie",4,"G","Montana","Big Sky",0
"Clancy Rugg",4,"F","Vermont","AEC",0
"TJ Shorts II",3,"G","UC-Davis","Big West",0
"Jordan Theodore",4,"G","Seton Hall","Big East",0
"Gary Trent Jr.",1,"G","Duke","ACC",0
"Karrington Ward",3,"F","Eastern Michigan","MAC",0
"Okaro White",4,"F","Florida State","ACC",0
"Thomas Wilder",3,"G","Western Michigan","MAC",0
"Johnathan Williams",3,"F","Gonzaga","WCC",0
"Matt Williams",4,"G","Central Florida","AAC",0
"Pendarvis Williams",4,"G","Norfolk State","MEAC",0
"Alexis Yetna",2,"F","South Florida","AAC",0
"Harrison Barnes",2,"F","North Carolina","ACC",0
"Charles Bassey",1,"C","Western Kentucky","CUSA",0
"Kent Bazemore",3,"G","Old Dominion","CAA",0
"Derick Beltran",4,"G","Southern","SWAC",0
"Marshall Bjorklund",3,"F","North Dakota State","Summit",0
"Nathan Boothe",4,"C","Toledo","MAC",0
"Stephen Brown",4,"G","Bucknell","Patriot",0
"Matthew Bryan-Amaning",4,"F","Washington","Pac-10",0
"Jeffrey Carroll",3,"G","Oklahoma State","Big 12",0
"Will Cherry",3,"G","Montana","Big Sky",0
"Zach Collins",1,"F","Gonzaga","WCC",0
"Brian Conklin",4,"F","Saint Louis","A-10",0
"Elgin Cook",4,"F","Oregon","Pac-12",0
"T.J. Cromer",4,"G","East Tennessee State","Southern",0
"Jared Cunningham",3,"G","Oregon State","Pac-12",0
"Edward Daniel",4,"F","Murray State","OVC",0
"Johnny Dee",4,"G","San Diego","WCC",0
"Majok Deng",4,"F","Louisiana-Monroe","Sun Belt",0
"Adrian Diaz",4,"F","Florida International","CUSA",0
"Sam Dower",4,"C","Gonzaga","WCC",0
"A.J. English",4,"G","Iona","MAAC",0
"Kim English",4,"G","Missouri","Big 12",0
"Chase Fischer",4,"G","Brigham Young","WCC",0
"Nana Foulland",3,"C","Bucknell","Patriot",0
"Josh Gasser",4,"G","Wisconsin","Big Ten",0
"Rashid Gaston",3,"F","Norfolk State","MEAC",0
"Kellan Grady",1,"G","Davidson","A-10",0
"Issiah Grayson",4,"G","Cal State Bakersfield","WAC",0
"Rokas Gustys",2,"F","Hofstra","CAA",0
"Isaac Haas",4,"C","Purdue","Big Ten",0
"Jeremy Harris",3,"G","Buffalo","MAC",0
"Jalen Hayes",3,"F","Oakland","Horizon",0
"John Henson",3,"F","North Carolina","ACC",0
"Calvin Hermanson",3,"F","Saint Mary's (CA)","WCC",0
"Nathan Hoover",3,"G","Wofford","Southern",0
"Troy Huff",4,"G","North Dakota","Big Sky",0
"Ian Hummer",4,"F","Princeton","Ivy",0
"Chandler Hutchison",4,"G","Boise State","MWC",0
"Kris Joseph",4,"F","Syracuse","Big East",0
"Derwin Kitchen",4,"G","Florida State","ACC",0
"Trevor Lacey",3,"G","North Carolina State","ACC",0
"Devon Lamb",4,"G","Lamar","Southland",0
"Cody Larson",3,"F","South Dakota State","Summit",0
"Alex Len",2,"C","Maryland","ACC",0
"Jaren Lewis",4,"F","Abilene Christian","Southland",0
"JeQuan Lewis",4,"G","Virginia Commonwealth","A-10",0
"Shelvin Mack",3,"G","Butler","Horizon",0
"Stephen Madison",4,"F","Idaho","WAC",0
"Rob Marberry",4,"F","Lipscomb","A-Sun",0
"Kelvin Martin",3,"F","Charleston Southern","Big South",0
"Jordan Mathews",4,"G","Gonzaga","WCC",0
"Patrick McCaw",2,"G","Nevada-Las Vegas","MWC",0
"Matt Mobley",3,"G","St. Bonaventure","A-10",0
"Stefan Moody",4,"G","Mississippi","SEC",0
"Jalen Moore",2,"F","Utah State","MWC",0
"Marquise Moore",4,"G","George Mason","A-10",0
"Justin Moss",3,"F","Buffalo","MAC",0
"Arnett Moultrie",3,"F","Mississippi State","SEC",0
"Jordan Murphy",4,"F","Minnesota","Big Ten",0
"Jaylen Nowell",2,"G","Washington","Pac-12",0
"J.J. O'Brien",4,"F","San Diego State","MWC",0
"Royce O'Neale",4,"F","Baylor","Big 12",0
"Chandler Parsons",4,"F","Florida","SEC",0
"Dyshawn Pierre",3,"F","Dayton","A-10",0
"Joe Rahon",4,"G","Saint Mary's (CA)","WCC",0
"LaMarcus Reed",4,"F","Texas-Arlington","Southland",0
"Patrick Richard",4,"G","McNeese State","Southland",0
"Colbey Ross",2,"G","Pepperdine","WCC",0
"Andrew Rowsey",4,"G","Marquette","Big East",0
"Jesse Sanders",4,"G","Liberty","Big South",0
"Victor Sanders",3,"G","Idaho","Big Sky",0
"Joe Sherburne",4,"F","Maryland-Baltimore County","AEC",0
"D'Marcus Simonds",2,"G","Georgia State","Sun Belt",0
"Matt Stainbrook",4,"C","Xavier","Big East",0
"B.J. Stith",4,"G","Old Dominion","CUSA",0
"Brandon Taylor",3,"G","Utah","Pac-12",0
"Deshon Taylor",3,"G","Fresno State","MWC",0
"Tristan Thompson",4,"G","North Texas","Sun Belt",0
"Isiah Umipig",4,"G","Seattle","WAC",0
"Jordon Varnado",2,"F","Troy","Sun Belt",0
"Dion Waiters",2,"G","Syracuse","Big East",0
"Casper Ware",4,"G","Cal State Long Beach","Big West",0
"Bryce Washington",3,"F","Louisiana","Sun Belt",0
"Christian Wood",2,"F","Nevada-Las Vegas","MWC",0
"Joe Young",2,"G","Houston","CUSA",0
"Jeremy Atkinson",4,"F","North Carolina-Asheville","Big South",0
"D.J. Balentine",3,"G","Evansville","MVC",0
"Frank Bartley",4,"G","Louisiana","Sun Belt",0
"Malik Benlevi",3,"F","Georgia State","Sun Belt",0
"Grant Benzinger",4,"G","Wright State","Horizon",0
"Tyler Bey",2,"G","Colorado","Pac-12",0
"Elijah Brown",2,"G","New Mexico","MWC",0
"Eric Buckner",4,"F","Georgia State","CAA",0
"Jackie Carmichael",4,"F","Illinois State","MVC",0
"Keith Carter",4,"G","Valparaiso","Horizon",0
"Justin Cobbs",2,"G","University of California","Pac-12",0
"Devon Collier",2,"F","Oregon State","Pac-12",0
"Zach Cooks",2,"G","NJIT","A-Sun",0
"Jud Dillard",3,"F","Tennessee Tech","OVC",0
"Michael Dixon",3,"G","Missouri","Big 12",0
"Scott Eatherton",4,"F","Northeastern","CAA",0
"Darnell Edge",4,"G","Fairleigh Dickinson","NEC",0
"Frankie Ferrari",4,"G","San Francisco","WCC",0
"Bryn Forbes",4,"G","Michigan State","Big Ten",0
"Jakeenan Gant",4,"F","Louisiana","Sun Belt",0
"Clide Geffrard",4,"F","Stephen F. Austin","Southland",0
"Eugene German",3,"G","Northern Illinois","MAC",0
"Shane Gibson",3,"G","Sacred Heart","NEC",0
"Shawn Glover",4,"F","Oral Roberts","Southland",0
"Moses Greenwood",4,"F","Southeastern Louisiana","Southland",0
"A.J. Hammons",4,"C","Purdue","Big Ten",0
"Luke Hancock",4,"F","Louisville","AAC",0
"Jerrick Harding",2,"G","Weber State","Big Sky",0
"Charles Hinkle",4,"F","American","Patriot",0
"Aaron Holiday",3,"G","UCLA","Pac-12",0
"Andre Hollins",2,"G","Minnesota","Big Ten",0
"Rodney Hood",2,"F","Duke","ACC",0
"Fred Hunter",4,"G","Nicholls State","Southland",0
"Brandon Ingram",1,"G","Duke","ACC",0
"Josh Jackson",1,"G","Kansas","Big 12",0
"Kareem Jamar",2,"G","Montana","Big Sky",0
"Amile Jefferson",4,"F","Duke","ACC",0
"Keldon Johnson",1,"G","Kentucky","SEC",0
"Reggie Johnson",2,"C","Miami (FL)","ACC",0
"Tony Johnson",4,"G","Lafayette","Patriot",0
"Jemerrio Jones",4,"F","New Mexico State","WAC",0
"Johnathan Jordan",4,"G","Texas A&M-Corpus Christi","Southland",0
"Andrew Kostecka",3,"G","Loyola (MD)","Patriot",0
"Maodo Lo",4,"G","Columbia","Ivy",0
"Darius Miller",3,"G","Kentucky","SEC",0
"Mike Moser",2,"F","Nevada-Las Vegas","MWC",0
"Malik Newman",2,"G","Kansas","Big 12",0
"Charles Odum",4,"G","Portland State","Big Sky",0
"Alex Oriakhi",2,"F","Connecticut","Big East",0
"Eric Paschall",3,"F","Villanova","Big East",0
"Adreian Payne",3,"C","Michigan State","Big Ten",0
"JayVaughn Pinkston",3,"F","Villanova","Big East",0
"Jordan Poole",2,"G","Michigan","Big Ten",0
"J.P. Primm",4,"G","North Carolina-Asheville","Big South",0
"Jahaad Proctor",3,"G","High Point","Big South",0
"Josh Reaves",3,"G","Penn State","Big Ten",0
"Rayvonte Rice",3,"G","Illinois","Big Ten",0
"Jeff Roberson",4,"F","Vanderbilt","SEC",0
"Jerome Robinson",3,"G","Boston College","ACC",0
"Junior Robinson",4,"G","Mount St. Mary's","NEC",0
"Mike Rosario",4,"G","Florida","SEC",0
"Terrence Ross",2,"G","Washington","Pac-12",0
"Damian Saunders",4,"F","Duquesne","A-10",0
"Justin Sears",2,"F","Yale","Ivy",0
"Iman Shumpert",3,"G","Georgia Tech","ACC",0
"Devin Sibley",3,"G","Furman","Southern",0
"Luke Sikma",4,"F","Portland","WCC",0
"Jaleen Smith",4,"G","New Hampshire","AEC",0
"Speedy Smith",3,"G","Louisiana Tech","CUSA",0
"Max Strus",4,"G","DePaul","Big East",0
"B.J. Taylor",4,"G","Central Florida","AAC",0
"Kyle Tresnak",3,"C","Weber State","Big Sky",0
"Brandon Triche",4,"G","Syracuse","Big East",0
"Drew Urquhart",4,"F","Vermont","AEC",0
"Byron Wesley",4,"G","Gonzaga","WCC",0
"Andrew White III",4,"G","Syracuse","ACC",0
"Andrew Wiggins",1,"G","Kansas","Big 12",0
"Isaiah Wilkerson",4,"F","NJIT","GWC",0
"Rodney Williams",3,"F","Minnesota","Big Ten",0
"Sherrod Wright",3,"G","George Mason","CAA",0
"Trevis Wyche",4,"G","Saint Peter's","MAAC",0
"Kris Acox",4,"F","Furman","Southern",0
"Francis Alonso",3,"G","North Carolina-Greensboro","Southern",0
"Shizz Alston Jr.",4,"G","Temple","AAC",0
"Zach Auguste",3,"F","Notre Dame","ACC",0
"Cameron Ayers",3,"G","Bucknell","Patriot",0
"Mohamed Bamba",1,"F","Texas","Big 12",0
"Tyus Battle",2,"G","Syracuse","ACC",0
"James Bell",4,"G","Villanova","Big East",0
"Brett Bisping",3,"F","Siena","MAAC",0
"Wayne Blackshear",4,"G","Louisville","ACC",0
"Bennie Boatwright",4,"F","Southern California","Pac-12",0
"Jordan Bone",3,"G","Tennessee","SEC",0
"Solomon Bozeman",4,"G","Little Rock","Sun Belt",0
"Oshae Brissett",1,"F","Syracuse","ACC",0
"Lovell Cabbil",4,"G","Liberty","A-Sun",0
"Eric Carter",4,"F","Delaware","CAA",0
"Troy Caupain",4,"G","Cincinnati","AAC",0
"Jason Clark",4,"G","Georgetown","Big East",0
"Brandon Clarke",2,"F","San Jose State","MWC",0
"Karl Cochran",4,"G","Wofford","Southern",0
"Xavier Cooks",3,"G","Winthrop","Big South",0
"Clayton Custer",3,"G","Loyola (IL)","MVC",0
"Aubrey Dawkins",3,"G","Central Florida","AAC",0
"Marvin Dominique",4,"F","Saint Peter's","MAAC",0
"Kris Dunn",2,"G","Providence","Big East",0
"Melvin Ejim",4,"F","Iowa State","Big 12",0
"Ella Ellis",4,"F","Army","Patriot",0
"Jawun Evans",2,"G","Oklahoma State","Big 12",0
"Corey Fisher",4,"G","Villanova","Big East",0
"Tre'Shaun Fletcher",4,"G","Toledo","MAC",0
"DeMarcus Gatlin",4,"G","Sam Houston State","Southland",0
"Grant Gibbs",4,"G","Creighton","MVC",0
"Desharick Guidry",4,"F","McNeese State","Southland",0
"Trevon Harmon",3,"G","Cleveland State","Horizon",0
"D'Angelo Harrison",4,"G","St. John's (NY)","Big East",0
"Deontae Hawkins",4,"F","Illinois State","MVC",0
"Desmond Haymon",4,"G","Stephen F. Austin","Southland",0
"Stephan Hicks",3,"G","Cal State Northridge","Big West",0
"Dustin Hogue",3,"F","Iowa State","Big 12",0
"Aric Holman",3,"F","Mississippi State","SEC",0
"Pierce Hornung",4,"F","Colorado State","MWC",0
"Will Hudson",4,"F","Oakland","Summit",0
"Lance Jeter",4,"G","Nebraska","Big 12",0
"Marcus Johnson Jr.",3,"G","Little Rock","Sun Belt",0
"Chris Johnson",3,"F","Dayton","A-10",0
"Mfiondu Kabengele",2,"F","Florida State","ACC",0
"Ryan Kemrite",3,"G","Liberty","Big South",0
"Leland King",4,"F","UC-Santa Barbara","Big West",0
"Kevon Looney",1,"F","UCLA","Pac-12",0
"Tyler Lydon",2,"F","Syracuse","ACC",0
"Roy Devyn Marble",3,"G","Iowa","Big Ten",0
"Kelan Martin",4,"F","Butler","Big East",0
"Terrell Miller Jr.",4,"F","Murray State","OVC",0
"Shonn Miller",4,"F","Cornell","Ivy",0
"Elijah Minnie",3,"F","Eastern Michigan","MAC",0
"Kwamain Mitchell",3,"G","Saint Louis","A-10",0
"Luke Nelson",3,"G","UC-Irvine","Big West",0
"LeRoy Nobles",4,"G","IUPUI","Summit",0
"Josh Owens",4,"F","Stanford","Pac-12",0
"London Perrantes",3,"G","Virginia","ACC",0
"Rodney Pryor",3,"G","Robert Morris","NEC",0
"Michael Qualls",3,"G","Arkansas","SEC",0
"Kaheem Ransom",4,"G","Sam Houston State","Southland",0
"Davon Reed",4,"G","Miami (FL)","ACC",0
"Tyrel Reed",4,"G","Kansas","Big 12",0
"Ryan Rhoomes",4,"F","Fordham","A-10",0
"Sam Rowley",4,"F","Albany (NY)","AEC",0
"Tyler Sharpe",3,"G","Northern Kentucky","Horizon",0
"Raymond Spalding",3,"F","Louisville","ACC",0
"Demontez Stitt",4,"G","Clemson","ACC",0
"Tyler Stone",4,"F","Southeast Missouri State","OVC",0
"Gerardo Suero",3,"G","Albany (NY)","AEC",0
"Khyri Thomas",3,"G","Creighton","Big East",0
"Bernard Thompson",2,"G","Florida Gulf Coast","A-Sun",0
"Justin Tillman",4,"F","Virginia Commonwealth","A-10",0
"Reed Timmer",4,"G","Drake","MVC",0
"Jake Toolson",3,"G","Utah Valley","WAC",0
"Obi Toppin",1,"F","Dayton","A-10",0
"Justin Tuoyo",4,"F","Chattanooga","Southern",0
"Justin Turner",2,"G","Bowling Green State","MAC",0
"Leonard Washington",3,"F","Wyoming","MWC",0
"Wes Washpun",4,"G","Northern Iowa","MVC",0
"Neil Watson",3,"G","Southern Mississippi","CUSA",0
"Mitchell Watt",4,"F","Buffalo","MAC",0
"Briante Weber",3,"G","Virginia Commonwealth","A-10",0
"Dexter Werner",4,"F","North Dakota State","Summit",0
