"player","class","pos","school","conf","drafted"
"Allonzo Trier",3,"G","Arizona","Pac-12",0
"Chris Warren",4,"G","Mississippi","SEC",0
"Jacorey Williams",4,"F","Middle Tennessee","CUSA",0
"Justise Winslow",1,"F","Duke","ACC",0
"Cameron Young",4,"G","Quinnipiac","MAAC",0
"Ryan Anderson",4,"F","Arizona","Pac-12",0
"Trevon Bluiett",4,"G","Xavier","Big East",0
"William Buford",3,"G","Ohio State","Big Ten",0
"Angelo Caloiaro",4,"F","San Francisco","WCC",0
"Yoeli Childs",2,"F","Brigham Young","WCC",0
"Rakeem Christmas",4,"F","Syracuse","ACC",0
"Jake Cohen",4,"F","Davidson","Southern",0
"Chris Cokley",4,"F","Alabama-Birmingham","CUSA",0
"RJ Cole",2,"G","Howard","MEAC",0
"Pat Connaughton",4,"G","Notre Dame","ACC",0
"Joe Cremo",3,"G","Albany (NY)","AEC",0
"Randy Culpepper",4,"G","Texas-El Paso","CUSA",0
"Ron Curry",4,"G","James Madison","CAA",0
"Zac Cuthbertson",4,"F","Coastal Carolina","Sun Belt",0
"Spencer Dinwiddie",2,"G","Colorado","Pac-12",0
"Vaughn Duggins",4,"G","Wright State","Horizon",0
