?Rk,Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,Drafted
87,Anthony Lamb,3,2018-19,F,Vermont,AEC,32,1011,33.7,0.606,0.568,6.7,23.4,15.1,18.2,1.7,7.4,11,32.9,635,120.6,89.9,4.5,2.6,7.1,6,4,9.9,0
88,C.J. Massinburg,4,2018-19,G,Buffalo,MAC,35,1123,26.1,0.615,0.572,6.9,14.2,10.5,16.2,2,0.9,8.3,23.1,614,131.7,96.4,4.9,2.2,7.1,8.8,1.8,10.5,0
90,Otto Porter,2,2012-13,F,Georgetown,Big East,31,1097,27.3,0.59,0.541,6.7,20.9,13.9,18.5,3.3,3,10,24.1,477,122.3,85.3,4.2,3,7.1,7.2,6.1,13.3,1
91,Tyler Ulis,2,2015-16,G,Kentucky,SEC,35,1288,23.9,0.567,0.497,1.7,7.1,4.6,34.3,2.3,0.3,11.4,23.2,666,128.8,103.4,5.4,1.7,7.1,8.5,1,9.6,1
92,Derrick Walton,4,2016-17,G,Michigan,Big Ten,38,1323,24.3,0.623,0.561,1.7,16.2,9.1,27.3,2,0.1,12.3,23,629,128.8,104.2,5.5,1.7,7.1,9.1,2,11,0
93,Tyler Zeller,4,11-Dec,F,North Carolina,ACC,38,1070,29.9,0.616,0.553,14.1,21.9,17.9,6.3,1.7,5.3,12.6,24.5,580,125.6,89.7,4.6,2.5,7.1,6.5,5.1,11.6,0
94,Billy Baron,4,2013-14,G,Canisius,MAAC,34,1325,28.4,0.631,0.565,1.5,13,7.3,28.8,2.5,0.1,13.4,28.7,810,128.1,113.1,6.3,0.7,7,9.1,-1.9,7.2,0
95,Malcolm Brogdon,4,2015-16,G,Virginia,ACC,37,1263,25.1,0.585,0.532,2.1,13.3,7.9,19.5,1.8,0.9,8.3,28.4,627,122.3,99.9,4.9,2.1,7,8.5,2.6,11.1,1
96,Jevon Carter,4,2017-18,G,West Virginia,Big 12,37,1313,24.9,0.549,0.498,2.4,13.1,7.5,36.2,4.9,1.2,14.4,25,686,119.3,94.9,4.3,2.8,7,8.1,4.4,12.5,1
97,Bonzie Colson,3,2016-17,F,Notre Dame,ACC,36,1156,30.2,0.598,0.555,10.6,25.5,18.2,10.2,2,4.5,7.6,26.1,613,126.2,97.3,4.8,2.2,7,5.8,4.4,10.2,0
98,Sam Dekker,3,2014-15,F,Wisconsin,Big Ten,40,1239,25.5,0.605,0.586,8.4,14.8,11.7,8.6,1.1,1.5,7.3,23.2,519,128.6,99.8,5.1,1.9,7,8.2,1.8,10,1
99,Pierre Jackson,4,2012-13,G,Baylor,Big 12,36,1252,26,0.574,0.514,2.2,10.3,6.2,40.7,2.5,0,16.4,29.5,749,117.5,100.1,5.3,1.6,7,9.8,0.8,10.6,1
100,Mickey McConnell,4,10-Nov,G,Saint Mary's (CA),WCC,34,1255,23.7,0.666,0.614,1.6,6.7,4.2,29.7,2,0.6,15.9,20.5,584,133,103.4,5.6,1.4,7,7.9,-0.6,7.3,0
101,Isaiah Miles,4,2015-16,F,Saint Joseph's,A-10,36,1239,25.2,0.65,0.6,7.6,17.7,12.8,5.1,1,3.2,7.6,21.9,584,132.3,100,4.9,2,7,6.9,1.7,8.6,0
102,Egidijus Mockevicius,4,2015-16,C,Evansville,MVC,34,1082,29,0.658,0.637,10.3,39.2,26.1,1.8,1.4,9,11.9,22.3,470,123.2,81.7,3.4,3.6,7,0.4,4.6,4.9,0
103,Jordan Parks,4,2014-15,G,North Carolina Central,MEAC,33,1042,28.2,0.675,0.67,11.5,20.5,16.4,5.1,2.1,3.7,13.8,23.6,450,125,84.7,3.9,3.1,7,2.8,1.3,4,0
106,Marvin Bagley III,1,2017-18,F,Duke,ACC,33,1118,30.6,0.643,0.64,13.8,21.5,17.9,8.8,1.4,2.6,12.2,26.3,630,127.7,97.4,4.8,2.1,6.9,7.7,3,10.7,0
107,R.J. Hunter,3,2014-15,G,Georgia State,Sun Belt,35,1294,25.8,0.552,0.473,2.8,12.5,7.9,20.3,3.6,3.6,11,29.6,667,115.4,95.5,4.4,2.5,6.9,5.4,1.3,6.7,1
109,Mason Plumlee,4,2012-13,F,Duke,ACC,36,1248,26.3,0.628,0.599,9.7,25.1,17.4,11.5,1.7,4,17.4,24.5,605,117.2,92.2,4.3,2.6,6.9,4.9,5.7,10.7,1
110,Deshaun Thomas,3,2012-13,F,Ohio State,Big Ten,37,1309,24.2,0.551,0.506,5.8,15,10.3,8.6,0.9,1,7.3,29.1,651,116.7,97.6,4.8,2,6.9,6.8,0.3,7.1,1
111,Lonzo Ball,1,2016-17,G,UCLA,Pac-12,36,1263,24.7,0.673,0.668,3.2,14.3,9.3,31.4,2.8,2.1,18.6,18.1,608,131.3,100.7,4.8,2,6.8,8.7,3.5,12.2,1
112,Davion Berry,3,2012-13,G,Weber State,Big Sky,37,1186,24.1,0.603,0.556,1.7,13.9,8.3,23.1,2.3,0.8,13.8,24.6,565,121.7,94.5,4.6,2.2,6.8,4.5,0.9,5.4,0
113,Quinn Cook,4,2014-15,G,Duke,ACC,39,1396,19.7,0.609,0.569,1.4,9.2,5.5,13.2,1.7,0.1,8.7,20,544,129.6,101.7,4.9,1.9,6.8,8.2,1.5,9.6,0
114,Jarrett Culver,2,2018-19,G,Texas Tech,Big 12,38,1234,25.1,0.542,0.505,5.6,17.3,11.8,26.1,2.7,2.2,13.7,32.2,711,108.7,86.7,3.3,3.5,6.8,5.5,5.8,11.2,1
115,Jon Diebler,4,10-Nov,G,Ohio State,Big Ten,37,1320,19.6,0.723,0.706,1.3,7.9,4.6,11.6,1.7,0.4,9.8,14.4,408,144.7,98.4,4.7,2.1,6.8,9.8,2.7,12.6,0
116,Kyle Guy,3,2018-19,G,Virginia,ACC,38,1345,20.4,0.609,0.585,2.7,12.6,7.9,11.9,1.3,0.2,9.9,22.7,521,121.6,96.4,4.2,2.6,6.8,8.1,2,10.1,1
117,John Konchar,4,2018-19,G,Purdue-Fort Wayne,Summit,33,1131,30.3,0.632,0.609,7.6,20.4,14.2,29.3,3.1,2.8,15.2,25.9,701,125.8,101.4,5.1,1.6,6.8,6.2,1.4,7.6,0
118,Kawhi Leonard,2,10-Nov,F,San Diego State,MWC,36,1172,26.5,0.512,0.471,11.4,26.2,19,16,2.7,1.9,12.3,27.6,567,112.5,86.3,3.6,3.2,6.8,3.9,5.2,9.1,0
120,Emmett Naar,2,2015-16,G,Saint Mary's (CA),WCC,35,1301,22,0.611,0.567,2.3,9.1,6.1,31.1,2.2,0.4,16.6,21,559,125.6,100.6,4.7,2.1,6.8,5.8,1.4,7.2,0
121,Kevin Pangos,4,2014-15,G,Gonzaga,WCC,38,1278,19.8,0.624,0.583,1.7,7.2,4.8,23.4,2.3,0.3,12.6,16.8,474,133.4,98.1,4.6,2.2,6.8,7.4,2.1,9.5,0
122,Jakob Poeltl,2,2015-16,F,Utah,Pac-12,36,1093,31.1,0.665,0.646,11.9,22.1,17.4,13.9,1.1,5,13.7,25.7,597,128.8,98.5,4.9,1.9,6.8,6.8,4.4,11.2,0
123,D'Angelo Russell,1,2014-15,G,Ohio State,Big Ten,35,1188,26.6,0.573,0.541,3.6,15.4,9.8,30.1,2.8,1.1,14.8,30.2,671,115.7,94.5,4.4,2.4,6.8,8.7,3,11.7,1
124,Mike Scott,4,11-Dec,F,Virginia,ACC,32,999,30.7,0.62,0.571,9.7,26.2,18,10.7,1.4,1.8,12.6,30.9,522,118.4,87.4,4.2,2.6,6.8,5.3,2.7,8,0
125,Jarnell Stokes,3,2013-14,F,Tennessee,SEC,37,1199,27.6,0.576,0.531,15.3,23.1,19.2,13.7,1.4,2.9,13.7,24.6,575,121.9,95.4,4.2,2.6,6.8,5.8,4.3,10,1
126,Tai Wesley,4,10-Nov,F,Utah State,WAC,34,993,28.7,0.642,0.607,12.6,19.8,16.4,16.9,1.7,4.1,16.3,25.2,494,123.7,87.8,4.2,2.6,6.8,5.9,5.8,11.8,0
129,Scott Bamforth,4,2012-13,G,Weber State,Big Sky,37,1150,22.9,0.671,0.636,0.8,13.9,7.9,14.5,2,0.2,10.9,20.2,466,132.5,95.5,4.7,2,6.7,6.7,0.1,6.7,0
130,Devon Beitzel,4,10-Nov,G,Northern Colorado,Big Sky,32,1134,26.2,0.654,0.581,1.2,9.8,5.5,12.5,2.3,0.1,12.8,27,597,128.1,101.4,5.3,1.5,6.7,7.4,-1.4,6,0
131,Bryce Cotton,4,2013-14,G,Providence,Big East,35,1398,23.9,0.565,0.489,1.6,8.9,5.3,34.8,1.5,0.2,11.2,28.3,759,122.6,109.4,5.5,1.2,6.7,8.5,-1.4,7.1,0
